candidate_id,rank,score,reasoning
CAND_0055905,1,1.0,"Senior Machine Learning Engineer with 8.1 years looks like a strong fit for the Senior AI Engineer role at Flipkart from London, with retrieval/ranking experience around embeddings, retrieval, vector search; production evidence with python, production. Availability signals look workable, with open-to-work status, 0.87 recruiter response rate, and 30-day notice period."
CAND_0005649,2,0.952757526876768,"Senior Data Scientist with 7.4 years looks like a strong fit for the Senior AI Engineer role at Sarvam AI from Delhi, Delhi, with retrieval/ranking experience around embeddings, retrieval, faiss; production evidence with deployment, production. Availability signals look workable, with open-to-work status, 0.57 recruiter response rate, and 90-day notice period."
CAND_0081846,3,0.900383461008378,"Lead AI Engineer with 6.7 years looks like a strong fit for the Senior AI Engineer role at Razorpay from Jaipur, Rajasthan, with retrieval/ranking experience around embeddings, retrieval, vector search; production evidence with python, production. Availability signals look workable, with open-to-work status, 0.73 recruiter response rate, and 30-day notice period."
CAND_0086022,4,0.8300982172319041,"Senior Applied Scientist with 5.3 years looks like a strong fit for the Senior AI Engineer role at Sarvam AI from Kolkata, West Bengal, with retrieval/ranking experience around embeddings, retrieval, vector search; production evidence with production. Availability signals look workable, with open-to-work status, 0.55 recruiter response rate, and 0-day notice period."
CAND_0069905,5,0.8210400684947441,"Applied ML Engineer with 6.6 years looks like a strong fit for the Senior AI Engineer role at Sarvam AI from Bhubaneswar, Odisha, with retrieval/ranking experience around embeddings, retrieval, faiss; production evidence with python, deployment, production. Availability signals look workable, with open-to-work status, 0.78 recruiter response rate, and 90-day notice period."
CAND_0046525,6,0.7950519328987572,"Senior Machine Learning Engineer with 6.1 years looks like a strong fit for the Senior AI Engineer role at Genpact AI from Pune, Maharashtra, with retrieval/ranking experience around embeddings, retrieval, faiss; production evidence with production. Availability signals look workable, with open-to-work status, 0.88 recruiter response rate, and 60-day notice period."
CAND_0077337,7,0.7607796663173075,"Staff Machine Learning Engineer with 7.0 years looks like a strong fit for the Senior AI Engineer role at Paytm from Kochi, Kerala, with retrieval/ranking experience around embeddings, retrieval, bm25; production evidence with python, production. Availability signals look workable, with open-to-work status, 0.95 recruiter response rate, and 60-day notice period."
CAND_0044883,8,0.7238988225570181,"AI Engineer with 6.3 years looks like a strong fit for the Senior AI Engineer role at Mad Street Den from Berlin, with retrieval/ranking experience around embeddings, retrieval, faiss; production evidence with deployment, production. The main concern is the candidate is not marked open to work; location is not an obvious match for the preferred cities."
CAND_0083307,9,0.660220277821569,"Search Engineer with 7.8 years looks like a strong fit for the Senior AI Engineer role at CRED from Vizag, Andhra Pradesh, with retrieval/ranking experience around embeddings, retrieval, vector search; production evidence with python, gcp, deployment. The main concern is location is not an obvious match for the preferred cities."
CAND_0079387,10,0.6434027303866188,"AI Engineer with 6.9 years looks like a strong fit for the Senior AI Engineer role at Microsoft from Trivandrum, Kerala, with retrieval/ranking experience around embeddings, retrieval, vector search; production evidence with python, deployment, production. Availability signals look workable, with open-to-work status, 0.81 recruiter response rate, and 30-day notice period."
